lmk_name,x_coord,y_coord,z_coord
Glabella,-6.894411859610798,38.057340909583544,37.600550290196736
Gnathion',-5.651269785562654,-93.58834620630229,42.69738636823723
Menton,-6.168863859501865,-99.98950841147659,34.002431957707415
Pogonion,-5.495455143499466,-85.81465169817592,46.992464760428845
Endocanthion' L,5.877599856816115,12.332233481560849,21.008455130053164
Nasion',-6.629256813246435,27.057340742036786,38.03460125614828
Subnasale',-4.713384945817253,-30.41678914115679,53.259685701176636
Exocanthion' R,-52.4883953004753,13.577837735732018,18.799461579531
Pronasale',-3.2007684911712104,-12.8507040257403,69.52239515655754
Labiale Superius',-5.414948005956322,-45.55331928106913,54.091951389620704
Stomion',-5.639963392622107,-50.1398555976552,49.79442353433052
Labiale Inferius',-5.33017629474805,-60.72146390621576,50.86304982883104
Cheilion' L,16.21231413279666,-53.749857111021825,36.50762969925944
Cheilion' R,-32.08920221700667,-54.514526387773344,40.09669435143712
Alare' L,12.236979451546524,-19.668400827141205,47.38604923126866
Alare' R,-23.431324777762754,-20.926089878885875,48.47567247701295
Exocanthion' L,36.02326757160623,12.716178904810832,13.415069260747885
Endocanthion' R,-22.4257634406447,12.562737996148556,21.862155008392506
Frontotemporale' L,43.09096834604874,34.959601738939995,11.465301616527881
Frontotemporale' R,-59.32033336224042,33.77160364305473,19.223272384281984
Frontozygomaticus' L,49.60089305978222,15.819714966594418,-4.795708527084571
Frontozygomaticus' R,-70.26607573254351,12.27198086351585,1.851362642917195
Midsupraorbital' L,22.732422139829254,28.368651726562604,27.554662927189383
Midsupraorbital' R,-38.78623055574844,26.679320930109554,31.6460866935401
Supramentale',-6.070792889361435,-67.74685626160925,45.39042879813127
